Date,Index Value
30/09/2018,4252.77967
01/10/2018,3602.626787
02/10/2018,3576.237634
03/10/2018,3589.689841
04/10/2018,3587.646102
05/10/2018,3647.382884
06/10/2018,3648.918166
07/10/2018,3700.242363
08/10/2018,3712.492058
09/10/2018,3682.92643
10/10/2018,3706.660402
11/10/2018,3669.923727
12/10/2018,3590.575504
13/10/2018,3576.129212
14/10/2018,3544.649463
15/10/2018,3584.569322
16/10/2018,3676.59313
17/10/2018,3667.179607
18/10/2018,3704.970864
19/10/2018,3662.967925
20/10/2018,3681.102185
21/10/2018,3655.902367
22/10/2018,3685.465498
23/10/2018,3687.731013
24/10/2018,3665.450172
25/10/2018,3678.26249
26/10/2018,3680.341117
27/10/2018,3678.038873
28/10/2018,3689.447666
29/10/2018,3556.046011
30/10/2018,3502.716579
31/10/2018,3500.531768
01/11/2018,3520.122847
02/11/2018,3532.159535
03/11/2018,3524.92722
04/11/2018,3517.864471
05/11/2018,3497.432554
06/11/2018,3470.633572
07/11/2018,3410.354706
08/11/2018,3467.509914
09/11/2018,3466.47383
10/11/2018,3424.293399
11/11/2018,3422.16394
12/11/2018,3434.823915
13/11/2018,3412.899635
14/11/2018,3397.637273
15/11/2018,3064.123965
16/11/2018,3025.170998
17/11/2018,3006.825203
18/11/2018,2983.930574
19/11/2018,3005.510819
20/11/2018,2541.675478
21/11/2018,2369.318839
22/11/2018,2470.501047
23/11/2018,2336.771747
24/11/2018,2372.849263
25/11/2018,2072.663459
26/11/2018,2168.643583
27/11/2018,2053.571009
28/11/2018,2074.395714
29/11/2018,2333.387738
30/11/2018,2380.736755
01/12/2018,2214.45082
02/12/2018,2313.371936
03/12/2018,2293.211979
04/12/2018,2149.327646
05/12/2018,2189.334704
06/12/2018,2082.997002
07/12/2018,1962.954596
08/12/2018,1915.241126
09/12/2018,1940.260462
10/12/2018,2021.947128
11/12/2018,1955.653039
12/12/2018,1914.957231
13/12/2018,1968.213035
14/12/2018,1862.29091
15/12/2018,1829.033367
16/12/2018,1823.364706
17/12/2018,1825.195236
18/12/2018,1972.852428
19/12/2018,2047.522419
20/12/2018,2064.883329
21/12/2018,2257.583044
22/12/2018,2127.438273
23/12/2018,2197.425908
24/12/2018,2118.959627
25/12/2018,2128.11636
26/12/2018,1997.550672
27/12/2018,2020.714094
28/12/2018,1954.039986
29/12/2018,2056.623463
30/12/2018,1967.919492
31/12/2018,2022.462817
01/01/2019,2866.51048
02/01/2019,2931.274869
03/01/2019,2922.642564
04/01/2019,2867.443344
05/01/2019,2875.409199
06/01/2019,2852.639089
07/01/2019,3077.741251
08/01/2019,3067.85651
09/01/2019,3067.402141
10/01/2019,3071.158838
11/01/2019,2848.95957
12/01/2019,2865.079301
13/01/2019,2852.907027
14/01/2019,2803.026531
15/01/2019,2869.876149
16/01/2019,2840.136903
17/01/2019,2855.072029
18/01/2019,2882.551925
19/01/2019,2878.378437
20/01/2019,2930.301116
21/01/2019,2814.498096
22/01/2019,2821.007434
23/01/2019,2846.023488
24/01/2019,2823.234639
25/01/2019,2849.228946
26/01/2019,2845.595029
27/01/2019,2843.453528
28/01/2019,2851.040662
29/01/2019,2792.566527
30/01/2019,2768.530225
31/01/2019,2771.050885
01/02/2019,2761.701347
02/02/2019,2789.901475
03/02/2019,2794.606675
04/02/2019,2760.195769
05/02/2019,2759.313012
06/02/2019,2779.523851
07/02/2019,2736.500978
08/02/2019,2727.172835
09/02/2019,2895.533586
10/02/2019,2899.326184
11/02/2019,2892.624422
12/02/2019,2869.464786
13/02/2019,2855.557171
14/02/2019,2845.469135
15/02/2019,2838.729567
16/02/2019,2839.813413
17/02/2019,2848.907145
18/02/2019,2836.356182
19/02/2019,2994.080195
20/02/2019,3027.786512
21/02/2019,3048.979658
22/02/2019,3030.954369
23/02/2019,3058.979911
24/02/2019,3164.02443
25/02/2019,2950.109815
26/02/2019,2989.986028
27/02/2019,2980.242253
28/02/2019,2996.423432
01/03/2019,2984.950755
02/03/2019,3000.208736
03/03/2019,3018.343526
04/03/2019,3006.685485
05/03/2019,2951.702199
06/03/2019,3027.107005
07/03/2019,3029.04799
08/03/2019,3047.033306
09/03/2019,3055.282325
10/03/2019,3102.905739
11/03/2019,3097.414682
12/03/2019,3065.850322
13/03/2019,3073.500112
